Header_Identifier,Date_Latest,Metadata_Identifier,Metadata_Identifier_File_ID,URL
oai:commons.swinburne.edu.au:26cf91fb-8133-4980-bde9-6dfea075ff79/1,2021-09-01T01:15:14Z,26cf91fb-8133-4980-bde9-6dfea075ff79,pub003i0002-4-p1.jpg,https://commons.swinburne.edu.au/file/pub003i0002-4-p1.jpg
oai:commons.swinburne.edu.au:ad86c9bd-0bf6-46c7-a25e-23307439b679/1,2021-09-01T01:15:13Z,ad86c9bd-0bf6-46c7-a25e-23307439b679,pub003i0007-p1.jpg,https://commons.swinburne.edu.au/file/pub003i0007-p1.jpg
oai:commons.swinburne.edu.au:e4509fbe-1df1-4484-a784-b94b4094c7af/1,2021-09-01T01:15:12Z,e4509fbe-1df1-4484-a784-b94b4094c7af,pub003i0005-p1.jpg,https://commons.swinburne.edu.au/file/pub003i0005-p1.jpg
oai:commons.swinburne.edu.au:3916c9ab-0806-4ee6-a428-ee2fee00e775/1,2021-09-01T01:15:11Z,3916c9ab-0806-4ee6-a428-ee2fee00e775,pub003i0008-p1.jpg,https://commons.swinburne.edu.au/file/pub003i0008-p1.jpg
oai:commons.swinburne.edu.au:963e945a-f0c8-4b31-a210-e6dade1ea647/1,2021-09-01T01:15:10Z,963e945a-f0c8-4b31-a210-e6dade1ea647,pub003i0002-7-p1.jpg,https://commons.swinburne.edu.au/file/pub003i0002-7-p1.jpg
oai:commons.swinburne.edu.au:ba6020ec-7c71-43e4-b837-0886e24cbb1d/1,2021-09-01T01:15:09Z,ba6020ec-7c71-43e4-b837-0886e24cbb1d,pub003i001-15-p1.jpg,https://commons.swinburne.edu.au/file/pub003i001-15-p1.jpg
oai:commons.swinburne.edu.au:b5a24bfa-9f48-42ff-9b1c-dc3adaa2d74c/1,2021-09-01T01:15:08Z,b5a24bfa-9f48-42ff-9b1c-dc3adaa2d74c,pub003i0001-12-p1.jpg,https://commons.swinburne.edu.au/file/pub003i0001-12-p1.jpg
oai:commons.swinburne.edu.au:da7886b6-acad-4806-9a80-90068269744e/1,2021-09-01T01:15:07Z,da7886b6-acad-4806-9a80-90068269744e,pub003i0001-13-p1.jpg,https://commons.swinburne.edu.au/file/pub003i0001-13-p1.jpg
oai:commons.swinburne.edu.au:589ba1ee-38ef-438f-a661-59382694930d/1,2021-09-01T01:15:06Z,589ba1ee-38ef-438f-a661-59382694930d,pub003i0001-14-p1.jpg,https://commons.swinburne.edu.au/file/pub003i0001-14-p1.jpg
oai:commons.swinburne.edu.au:7273a932-61aa-472c-a236-975b14d11823/1,2021-09-01T01:15:06Z,7273a932-61aa-472c-a236-975b14d11823,pub003i0001-17-p1.jpg,https://commons.swinburne.edu.au/file/pub003i0001-17-p1.jpg
oai:commons.swinburne.edu.au:8d6cf16b-8a9f-4977-8848-e67cde0b1109/1,2021-09-01T01:15:05Z,8d6cf16b-8a9f-4977-8848-e67cde0b1109,pub003i0001-18-p1.jpg,https://commons.swinburne.edu.au/file/pub003i0001-18-p1.jpg
oai:commons.swinburne.edu.au:626477fb-c6c6-4282-9505-ac1583376ef1/1,2021-09-01T01:15:04Z,626477fb-c6c6-4282-9505-ac1583376ef1,swin626477fb-p1.png,https://commons.swinburne.edu.au/file/swin626477fb-p1.png
oai:commons.swinburne.edu.au:61cbf953-fd98-4f22-8a02-5a87ab869130/1,2021-09-01T01:15:03Z,61cbf953-fd98-4f22-8a02-5a87ab869130,swin61cbf953-p1.jpg,https://commons.swinburne.edu.au/file/swin61cbf953-p1.jpg
oai:commons.swinburne.edu.au:907016cf-4c19-490c-bbf5-cf334a7b1102/1,2021-09-01T01:15:02Z,907016cf-4c19-490c-bbf5-cf334a7b1102,pub003i0103-p1.jpg,https://commons.swinburne.edu.au/file/pub003i0103-p1.jpg
oai:commons.swinburne.edu.au:19e82f43-e37e-4908-ba1b-d5049bb29ca7/1,2021-09-01T01:15:01Z,19e82f43-e37e-4908-ba1b-d5049bb29ca7,pub003i0100-p1.jpg,https://commons.swinburne.edu.au/file/pub003i0100-p1.jpg
oai:commons.swinburne.edu.au:ed543a61-6055-4985-a74d-7a65c8027c2d/1,2021-09-01T01:15:00Z,ed543a61-6055-4985-a74d-7a65c8027c2d,pub003i0101-p1.jpg,https://commons.swinburne.edu.au/file/pub003i0101-p1.jpg
oai:commons.swinburne.edu.au:efef077a-4a58-469a-90d0-b2a585b05efa/1,2021-09-01T01:14:59Z,efef077a-4a58-469a-90d0-b2a585b05efa,pub003-christmascard_tree_2011-inside.jpg,https://commons.swinburne.edu.au/file/pub003-christmascard_tree_2011-inside.jpg
oai:commons.swinburne.edu.au:efef077a-4a58-469a-90d0-b2a585b05efa/1,2021-09-01T01:14:59Z,efef077a-4a58-469a-90d0-b2a585b05efa,pub003-christmascard_tree_2011-outside.jpg,https://commons.swinburne.edu.au/file/pub003-christmascard_tree_2011-outside.jpg
oai:commons.swinburne.edu.au:1daba705-b648-4f12-a1e3-60a79c99ff61/1,2021-09-01T01:14:59Z,1daba705-b648-4f12-a1e3-60a79c99ff61,pub003-christmascard_parrots_2011-outide.jpg,https://commons.swinburne.edu.au/file/pub003-christmascard_parrots_2011-outide.jpg
oai:commons.swinburne.edu.au:1daba705-b648-4f12-a1e3-60a79c99ff61/1,2021-09-01T01:14:59Z,1daba705-b648-4f12-a1e3-60a79c99ff61,pub003-christmascard_parrots_2011-inside.jpg,https://commons.swinburne.edu.au/file/pub003-christmascard_parrots_2011-inside.jpg
oai:commons.swinburne.edu.au:09073ff7-ec1b-4b60-add4-53647fbc2619/1,2021-09-01T01:14:58Z,09073ff7-ec1b-4b60-add4-53647fbc2619,pub003-christmascard_2012_inside.jpg,https://commons.swinburne.edu.au/file/pub003-christmascard_2012_inside.jpg
oai:commons.swinburne.edu.au:09073ff7-ec1b-4b60-add4-53647fbc2619/1,2021-09-01T01:14:58Z,09073ff7-ec1b-4b60-add4-53647fbc2619,pub003-christmascard_2012_outside.jpg,https://commons.swinburne.edu.au/file/pub003-christmascard_2012_outside.jpg
oai:commons.swinburne.edu.au:8f13962d-8fb6-4e7d-a823-23bcd5d44bf3/1,2021-09-01T01:14:57Z,8f13962d-8fb6-4e7d-a823-23bcd5d44bf3,pub003-christmascard_2010_1.jpg,https://commons.swinburne.edu.au/file/pub003-christmascard_2010_1.jpg
oai:commons.swinburne.edu.au:8f13962d-8fb6-4e7d-a823-23bcd5d44bf3/1,2021-09-01T01:14:57Z,8f13962d-8fb6-4e7d-a823-23bcd5d44bf3,pub003-christmascard_2010_2.jpg,https://commons.swinburne.edu.au/file/pub003-christmascard_2010_2.jpg
oai:commons.swinburne.edu.au:8f13962d-8fb6-4e7d-a823-23bcd5d44bf3/1,2021-09-01T01:14:57Z,8f13962d-8fb6-4e7d-a823-23bcd5d44bf3,pub003-christmascard_2010_3.jpg,https://commons.swinburne.edu.au/file/pub003-christmascard_2010_3.jpg
oai:commons.swinburne.edu.au:ef28fda7-4678-49a7-a368-4b72efaaa64d/1,2021-09-01T01:14:56Z,ef28fda7-4678-49a7-a368-4b72efaaa64d,pub003-christmascard_2013-p1.jpg,https://commons.swinburne.edu.au/file/pub003-christmascard_2013-p1.jpg
oai:commons.swinburne.edu.au:99cb4316-9931-4266-8e50-6c5be0ac7a4b/1,2021-09-01T01:14:55Z,99cb4316-9931-4266-8e50-6c5be0ac7a4b,pub003i0104.jpg,https://commons.swinburne.edu.au/file/pub003i0104.jpg
oai:commons.swinburne.edu.au:5685fd97-8338-4400-821e-be9768b756d2/1,2021-09-01T01:14:55Z,5685fd97-8338-4400-821e-be9768b756d2,pub003i0102-p1.jpg,https://commons.swinburne.edu.au/file/pub003i0102-p1.jpg
oai:commons.swinburne.edu.au:f3d98ac5-e862-4ed5-9f1f-3d04843a1289/1,2021-09-01T01:14:54Z,f3d98ac5-e862-4ed5-9f1f-3d04843a1289,swinf3d98ac5-p1.jpg,https://commons.swinburne.edu.au/file/swinf3d98ac5-p1.jpg
oai:commons.swinburne.edu.au:ee724535-76bb-4084-95a4-b2debcd2397a/1,2021-09-01T01:14:53Z,ee724535-76bb-4084-95a4-b2debcd2397a,swinee724535-p1.jpg,https://commons.swinburne.edu.au/file/swinee724535-p1.jpg
