Header_Identifier,Date_Latest,Metadata_Identifier,Metadata_Identifier_Handle_ID,Metadata_Identifier_CMS_ID,Metadata_Identifier_Accession_ID,Metadata_Identifier_File_ID,URL
oai:rosetta.slv.vic.gov.au:IE775479,2021-09-04T07:42:47Z,IE775479,10381/416563,1726860,H98.105/4986,FL15586525,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15586525
oai:rosetta.slv.vic.gov.au:IE775485,2021-09-03T21:13:27Z,IE775485,10381/416521,1737958,H98.100/3857,FL15869689,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15869689
oai:rosetta.slv.vic.gov.au:IE7754896,2021-09-04T09:02:50Z,IE7754896,10381/312575,1000623,,FL19179363,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19179363
oai:rosetta.slv.vic.gov.au:IE77549,2021-09-03T21:13:29Z,IE77549,10381/242533,2562642,,FL16008019,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16008019
oai:rosetta.slv.vic.gov.au:IE775490,2021-09-04T10:53:00Z,IE775490,10381/274503,1791523,,FL16508401,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16508401
oai:rosetta.slv.vic.gov.au:IE775493,2021-09-03T21:13:30Z,IE775493,10381/248308,1710616,,FL15523537,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15523537
oai:rosetta.slv.vic.gov.au:IE775495,2021-09-04T07:42:50Z,IE775495,10381/423771,1725613,H98.105/3356,FL15781582,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15781582
oai:rosetta.slv.vic.gov.au:IE775498,2021-09-03T21:13:32Z,IE775498,10381/255927,1773432,,FL16297766,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16297766
oai:rosetta.slv.vic.gov.au:IE7755014,2021-09-04T21:43:38Z,IE7755014,10381/291535,977584,,FL19507646,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19507646
oai:rosetta.slv.vic.gov.au:IE775502,2021-09-03T21:13:33Z,IE775502,10381/199205,1726531,H98.105/3533,FL16007999,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16007999
oai:rosetta.slv.vic.gov.au:IE775503,2021-09-03T21:13:34Z,IE775503,10381/254939,1771083,,FL16296163,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16296163
oai:rosetta.slv.vic.gov.au:IE775508,2021-09-03T21:13:35Z,IE775508,10381/257373,1776811,,FL16330889,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16330889
oai:rosetta.slv.vic.gov.au:IE775511,2021-09-03T21:13:35Z,IE775511,10381/203001,1740635,H98.101/275,FL16008035,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16008035
oai:rosetta.slv.vic.gov.au:IE775519,2021-09-04T11:27:59Z,IE775519,10381/4094664,1793159,,FL17709064,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL17709064
oai:rosetta.slv.vic.gov.au:IE77552,2021-09-04T10:35:30Z,IE77552,10381/140105,1812087,,FL16008197,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16008197
oai:rosetta.slv.vic.gov.au:IE775521,2021-09-04T11:51:12Z,IE775521,10381/421978,1727523,H98.105/4699,FL15589299,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15589299
oai:rosetta.slv.vic.gov.au:IE775529,2021-09-03T21:13:38Z,IE775529,10381/421579,1776061,,FL16330055,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16330055
oai:rosetta.slv.vic.gov.au:IE775530,2021-09-04T23:29:43Z,IE775530,10381/256966,1774882,,FL16296908,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16296908
oai:rosetta.slv.vic.gov.au:IE775535,2021-09-03T21:13:39Z,IE775535,10381/416776,1726028,H98.105/3805,FL15588287,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15588287
oai:rosetta.slv.vic.gov.au:IE775538,2021-09-03T21:13:39Z,IE775538,10381/263283,1788134,,FL15781830,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15781830
