Header_Identifier,Date_Latest,Metadata_Identifier,Metadata_Identifier_Handle_ID,Metadata_Identifier_CMS_ID,Metadata_Identifier_Accession_ID,Metadata_Identifier_File_ID,URL
oai:rosetta.slv.vic.gov.au:IE18655279,2021-04-18T10:23:18Z,IE18655279,10381/242934,485166,,FL19954315,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954315
oai:rosetta.slv.vic.gov.au:IE18654836,2021-04-18T10:22:00Z,IE18654836,10381/265619,485163,,FL19954446,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954446
oai:rosetta.slv.vic.gov.au:IE18473326,2021-04-18T10:05:16Z,IE18473326,10381/258124,485193,,FL19954413,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954413
oai:rosetta.slv.vic.gov.au:IE18653458,2021-04-18T10:18:08Z,IE18653458,10381/303511,2398391,,FL19954326,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954326
oai:rosetta.slv.vic.gov.au:IE18653660,2021-04-18T10:19:26Z,IE18653660,10381/303514,2398427,,FL19954397,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954397
oai:rosetta.slv.vic.gov.au:IE18656366,2021-04-18T10:25:53Z,IE18656366,10381/265617,485124,,FL19954473,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954473
oai:rosetta.slv.vic.gov.au:IE18657855,2021-04-18T10:29:46Z,IE18657855,10381/283002,485169,,FL19954336,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954336
oai:rosetta.slv.vic.gov.au:IE18472336,2021-04-18T09:58:48Z,IE18472336,10381/242930,485148,,FL19954399,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954399
oai:rosetta.slv.vic.gov.au:IE18473079,2021-04-18T10:01:24Z,IE18473079,10381/242931,485171,,FL20110812,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20110812
oai:rosetta.slv.vic.gov.au:IE18473202,2021-04-18T10:02:41Z,IE18473202,10381/242932,485146,,FL19954361,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954361
oai:rosetta.slv.vic.gov.au:IE18474183,2021-04-18T10:09:07Z,IE18474183,10381/283000,485181,,FL19954351,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954351
oai:rosetta.slv.vic.gov.au:IE18477354,2021-04-18T10:12:58Z,IE18477354,10381/303510,2398407,,FL19954464,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954464
oai:rosetta.slv.vic.gov.au:IE18471733,2021-04-18T09:56:14Z,IE18471733,10381/260505,485153,,FL19954494,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954494
oai:rosetta.slv.vic.gov.au:IE18471736,2021-04-18T09:57:31Z,IE18471736,10381/260506,485196,,FL20110830,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20110830
oai:rosetta.slv.vic.gov.au:IE18472577,2021-04-18T10:00:05Z,IE18472577,10381/257984,485154,,FL19954389,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954389
oai:rosetta.slv.vic.gov.au:IE16668520,2021-04-17T14:25:23Z,IE16668520,10381/242928,485186,,FL19954295,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954295
oai:rosetta.slv.vic.gov.au:IE18473323,2021-04-18T10:03:59Z,IE18473323,10381/242933,485173,,FL19954371,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954371
oai:rosetta.slv.vic.gov.au:IE18473921,2021-04-18T10:06:33Z,IE18473921,10381/258125,2244027,,FL19954422,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954422
oai:rosetta.slv.vic.gov.au:IE18474062,2021-04-18T10:07:50Z,IE18474062,10381/265615,485517,,FL19954344,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954344
oai:rosetta.slv.vic.gov.au:IE18477234,2021-04-18T10:10:24Z,IE18477234,10381/302140,485158,,FL19954460,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954460
oai:rosetta.slv.vic.gov.au:IE18477237,2021-04-18T10:11:41Z,IE18477237,10381/265620,1518617,,FL19954450,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954450
oai:rosetta.slv.vic.gov.au:IE18653257,2021-04-18T10:16:50Z,IE18653257,10381/303513,2398343,,FL19954313,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954313
oai:rosetta.slv.vic.gov.au:IE18654577,2021-04-18T10:20:43Z,IE18654577,10381/303512,2398440,,FL19954424,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954424
oai:rosetta.slv.vic.gov.au:IE18655989,2021-04-18T10:24:35Z,IE18655989,10381/265616,485190,,FL19954441,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954441
oai:rosetta.slv.vic.gov.au:IE18656753,2021-04-18T10:27:11Z,IE18656753,10381/283001,480576,,FL19954432,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954432
oai:rosetta.slv.vic.gov.au:IE18657267,2021-04-18T10:28:28Z,IE18657267,10381/265618,485185,,FL19954378,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954378
oai:rosetta.slv.vic.gov.au:IE18373480,2021-04-18T09:54:56Z,IE18373480,10381/242929,485140,,FL19954489,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19954489
oai:rosetta.slv.vic.gov.au:IE1453337,2021-05-25T15:09:43Z,IE1453337,10381/52414,2030312,,FL15986947,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15986947
oai:rosetta.slv.vic.gov.au:IE1420866,2021-05-18T19:48:42Z,IE1420866,10381/43107,1805150,H2007.130/13,FL15989011,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15989011
oai:rosetta.slv.vic.gov.au:IE143554,2021-05-25T12:02:00Z,IE143554,10381/221590,1789580,H2002.199/1528,FL15656735,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15656735
oai:rosetta.slv.vic.gov.au:IE1427198,2021-05-25T11:29:45Z,IE1427198,10381/461554,2088389,,FL15829970,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15829970
oai:rosetta.slv.vic.gov.au:IE1423619,2021-05-25T11:03:28Z,IE1423619,10381/461366,2088389,,FL15830026,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15830026
oai:rosetta.slv.vic.gov.au:IE14138069,2021-05-18T15:50:31Z,IE14138069,10381/172859,1047927,,FL16522259,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16522259
oai:rosetta.slv.vic.gov.au:IE14144856,2021-05-18T15:53:08Z,IE14144856,10381/241977,2375460,,FL19517078,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19517078
oai:rosetta.slv.vic.gov.au:IE14196558,2021-05-18T18:58:35Z,IE14196558,10381/172255,830622,,FL18938165,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL18938165
oai:rosetta.slv.vic.gov.au:IE14241364,2021-05-25T11:06:39Z,IE14241364,10381/83111,220945,,FL18654684,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL18654684
oai:rosetta.slv.vic.gov.au:IE1439636,2021-05-25T12:31:35Z,IE1439636,10381/142008,1609199,,FL18558577,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL18558577
oai:rosetta.slv.vic.gov.au:IE1440104,2021-05-25T12:32:18Z,IE1440104,10381/114748,1609193,,FL18458147,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL18458147
oai:rosetta.slv.vic.gov.au:IE1440334,2021-05-25T12:32:42Z,IE1440334,10381/114751,1609182,,FL18598261,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL18598261
oai:rosetta.slv.vic.gov.au:IE1440660,2021-05-25T12:33:04Z,IE1440660,10381/114749,1609187,,FL18453189,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL18453189
oai:rosetta.slv.vic.gov.au:IE14248139,2021-05-25T11:06:57Z,IE14248139,10381/83243,880193,,FL18938275,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL18938275
oai:rosetta.slv.vic.gov.au:IE1439918,2021-05-25T12:31:56Z,IE1439918,10381/114750,1012818,,FL1440933,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL1440933
oai:rosetta.slv.vic.gov.au:IE14195624,2021-05-18T18:54:25Z,IE14195624,10381/172458,1121032,,FL16523000,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16523000
oai:rosetta.slv.vic.gov.au:IE14195838,2021-05-18T18:54:56Z,IE14195838,10381/172358,1121051,,FL16759148,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16759148
oai:rosetta.slv.vic.gov.au:IE14196036,2021-05-18T18:55:35Z,IE14196036,10381/172085,892864,,FL17565998,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL17565998
oai:rosetta.slv.vic.gov.au:IE14196096,2021-05-18T18:56:15Z,IE14196096,10381/172471,873020,,FL16904347,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16904347
oai:rosetta.slv.vic.gov.au:IE14196206,2021-05-18T18:56:56Z,IE14196206,10381/172056,1121033,,FL18453088,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL18453088
oai:rosetta.slv.vic.gov.au:IE14196424,2021-05-18T18:57:32Z,IE14196424,10381/172182,1121111,,FL16722668,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16722668
oai:rosetta.slv.vic.gov.au:IE14196460,2021-05-18T18:58:05Z,IE14196460,10381/172452,1121096,,FL18038345,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL18038345
oai:rosetta.slv.vic.gov.au:IE14252546,2021-05-25T11:07:13Z,IE14252546,10381/191188,880209,,FL18938348,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL18938348
oai:rosetta.slv.vic.gov.au:IE14144584,2021-05-18T15:51:49Z,IE14144584,10381/241975,2375460,,FL16423719,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16423719
oai:rosetta.slv.vic.gov.au:IE1415944,2021-05-18T16:45:33Z,IE1415944,10381/381851,1658325,,FL16159460,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16159460
oai:rosetta.slv.vic.gov.au:IE14298904,2021-05-25T12:01:27Z,IE14298904,10381/213277,2263421,,FL18581826,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL18581826
oai:rosetta.slv.vic.gov.au:IE20656049,2021-09-04T21:55:26Z,IE20656049,10381/4189444,1716105,H28738.16B,FL20658895,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20658895
oai:rosetta.slv.vic.gov.au:IE20717584,2021-09-02T03:40:40Z,IE20717584,10381/4205088,1645234,H92.20/1311,FL20817164,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20817164
oai:rosetta.slv.vic.gov.au:IE12463179,2021-09-01T00:04:50Z,IE12463179,10381/4205088,1645234,,FL20817164,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20817164
oai:rosetta.slv.vic.gov.au:IE20717114,2021-09-02T03:40:16Z,IE20717114,10381/4206117,1764468,H92.20/5770,FL20817164,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20817164
oai:rosetta.slv.vic.gov.au:IE20837801,2021-09-02T04:19:01Z,IE20837801,10381/4212912,3884455,CUAFY62/4-5 Image 2,FL20842410,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20842410
oai:rosetta.slv.vic.gov.au:IE12483678,2021-09-01T03:06:51Z,IE12483678,10381/4212912,3884455,,FL20842410,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20842410
oai:rosetta.slv.vic.gov.au:IE20837811,2021-09-04T09:21:55Z,IE20837811,10381/4212762,3884453,CUAFY118/6-10;CUAFY61/7-9 Image 23,FL20841850,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20841850
oai:rosetta.slv.vic.gov.au:IE12463234,2021-09-01T00:04:51Z,IE12463234,10381/4212762,3884453,,FL20841850,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20841850
oai:rosetta.slv.vic.gov.au:IE20837816,2021-09-02T04:19:03Z,IE20837816,10381/4212636,3884443,CUAFY59/1 Image 1,FL20841346,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20841346
oai:rosetta.slv.vic.gov.au:IE20837821,2021-09-04T17:46:29Z,IE20837821,10381/4212637,3884430,CUAFY57/1 Image 2,FL20841350,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20841350
oai:rosetta.slv.vic.gov.au:IE20837826,2021-09-02T04:19:04Z,IE20837826,10381/4212638,3884495,CUAFY69/2;CUAFY69/3-4;CUAFY69/5-6 Image 16,FL20841354,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20841354
oai:rosetta.slv.vic.gov.au:IE20837831,2021-09-02T04:19:05Z,IE20837831,10381/4212394,3884455,CUAFY62/4-5 Image 1,FL20840406,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20840406
oai:rosetta.slv.vic.gov.au:IE20837836,2021-09-02T04:19:05Z,IE20837836,10381/4212763,3884499,CUAFY70/5-6 Image 5,FL20841854,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20841854
oai:rosetta.slv.vic.gov.au:IE20837896,2021-09-02T04:19:13Z,IE20837896,10381/4212395,3884473,CUAFY64/9-10 Image 1,FL20840410,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20840410
oai:rosetta.slv.vic.gov.au:IE20837981,2021-09-04T13:33:53Z,IE20837981,10381/4212915,3884479,CUAFY11/9-10;CUAFY66/7 Image 8,FL20842422,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20842422
oai:rosetta.slv.vic.gov.au:IE20837941,2021-09-04T09:25:04Z,IE20837941,10381/4212558,3884490,CUAFY67/11-12 Image 2,FL20841034,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20841034
oai:rosetta.slv.vic.gov.au:IE20684179,2021-09-02T03:31:59Z,IE20684179,10381/4197847,3670325,H2013.261/264,FL20684675,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20684675
oai:rosetta.slv.vic.gov.au:IE20684299,2021-09-02T03:32:15Z,IE20684299,10381/4197848,3688479,H2013.261/436,FL20684677,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20684677
oai:rosetta.slv.vic.gov.au:IE20684304,2021-09-02T03:32:16Z,IE20684304,10381/4197819,3674647,H2013.261/332,FL20684619,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20684619
oai:rosetta.slv.vic.gov.au:IE20837946,2021-09-02T04:19:21Z,IE20837946,10381/4212869,3884453,CUAFY118/6-10;CUAFY61/7-9 Image 24,FL20842238,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20842238
oai:rosetta.slv.vic.gov.au:IE20684309,2021-09-04T22:05:03Z,IE20684309,10381/4197849,3689357,H2013.261/709,FL20684679,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20684679
oai:rosetta.slv.vic.gov.au:IE20838206,2021-09-04T21:57:38Z,IE20838206,10381/4212264,3884492,CUAFY68/3-4 Image 5,FL20839894,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20839894
oai:rosetta.slv.vic.gov.au:IE20838231,2021-09-02T04:19:59Z,IE20838231,10381/4212441,3884415,CUAFY52/3-4 Image 2,FL20840566,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20840566
oai:rosetta.slv.vic.gov.au:IE20838236,2021-09-04T09:17:34Z,IE20838236,10381/4212316,3884410,CUAFY51/3;CUAFY51/4 Image 5,FL20840094,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20840094
oai:rosetta.slv.vic.gov.au:IE20838246,2021-09-02T04:20:01Z,IE20838246,10381/4212567,3884496,CUAFY69/11-13 Image 11,FL20841070,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20841070
oai:rosetta.slv.vic.gov.au:IE20838251,2021-09-02T04:20:02Z,IE20838251,10381/4212568,3884425,CUAFY54/5 Image 4,FL20841074,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20841074
oai:rosetta.slv.vic.gov.au:IE20838441,2021-09-02T04:20:26Z,IE20838441,10381/4212922,3884504,CUAFY72/2-7 Image 20,FL20842450,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20842450
oai:rosetta.slv.vic.gov.au:IE20838461,2021-09-04T13:24:50Z,IE20838461,10381/4212790,3884505,CUAFY72/8 Image 3,FL20841922,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20841922
oai:rosetta.slv.vic.gov.au:IE20838466,2021-09-02T04:20:29Z,IE20838466,10381/4212578,3884496,CUAFY69/11-13 Image 6,FL20841114,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20841114
oai:rosetta.slv.vic.gov.au:IE20838486,2021-09-02T04:20:32Z,IE20838486,10381/4212330,3884479,CUAFY11/9-10;CUAFY66/7 Image 1,FL20840150,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20840150
oai:rosetta.slv.vic.gov.au:IE20838491,2021-09-02T04:20:32Z,IE20838491,10381/4212683,3884480,CUAFY66/8 Image 2,FL20841534,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20841534
oai:rosetta.slv.vic.gov.au:IE20838631,2021-09-02T04:20:51Z,IE20838631,10381/4212660,3884449,CUAFY60/9 Image 5,FL20841442,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20841442
oai:rosetta.slv.vic.gov.au:IE20838636,2021-09-02T04:20:51Z,IE20838636,10381/4212581,3884469,CUAFY63/10 Image 1,FL20841126,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20841126
oai:rosetta.slv.vic.gov.au:IE20838776,2021-09-02T04:21:10Z,IE20838776,10381/4212339,3884458,CUAFY62/9 Image 1,FL20840186,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20840186
oai:rosetta.slv.vic.gov.au:IE20838861,2021-09-02T04:21:21Z,IE20838861,10381/4212281,3884497,CUAFY70/1-2 Image 3,FL20839962,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20839962
oai:rosetta.slv.vic.gov.au:IE20839066,2021-09-04T13:29:49Z,IE20839066,10381/4212699,3884409,CUAFY51/2 Image 3,FL20841598,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20841598
oai:rosetta.slv.vic.gov.au:IE20839101,2021-09-02T04:21:53Z,IE20839101,10381/4212299,3884485,CUAFY67/5 Image 4,FL20840034,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20840034
oai:rosetta.slv.vic.gov.au:IE20839126,2021-09-02T04:21:56Z,IE20839126,10381/4212348,3884439,CUAFY58/2-3 Image 1,FL20840222,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20840222
oai:rosetta.slv.vic.gov.au:IE20839151,2021-09-04T13:22:43Z,IE20839151,10381/4212936,3884422,CUAFY53/1-2 Image 1,FL20842506,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20842506
oai:rosetta.slv.vic.gov.au:IE20839156,2021-09-04T13:22:43Z,IE20839156,10381/4212665,3884444,CUAFY60/1-2 Image 3,FL20841462,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20841462
oai:rosetta.slv.vic.gov.au:IE20839161,2021-09-02T04:22:01Z,IE20839161,10381/4212703,3884814,CUAFY160/8-9 Image 2,FL20841614,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20841614
oai:rosetta.slv.vic.gov.au:IE20839166,2021-09-02T04:22:01Z,IE20839166,10381/4212427,3884487,CUAFY67/7 Image 1,FL20840510,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20840510
oai:rosetta.slv.vic.gov.au:IE20839236,2021-09-04T13:30:55Z,IE20839236,10381/4212706,3884419,CUAFY52/9 Image 2,FL20841626,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20841626
oai:rosetta.slv.vic.gov.au:IE20839256,2021-09-04T22:01:16Z,IE20839256,10381/4212350,3884486,CUAFY67/6 Image 3,FL20840230,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20840230
oai:rosetta.slv.vic.gov.au:IE7387416,2021-09-03T18:27:10Z,IE7387416,10381/238720,2482709,,FL16093483,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16093483
oai:rosetta.slv.vic.gov.au:IE7387401,2021-09-04T19:06:26Z,IE7387401,10381/238648,2482703,,FL16093287,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16093287
oai:rosetta.slv.vic.gov.au:IE7387406,2021-09-03T18:27:08Z,IE7387406,10381/359788,2009397,,FL16379843,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16379843
oai:rosetta.slv.vic.gov.au:IE7387411,2021-09-03T18:27:09Z,IE7387411,10381/238673,2480940,,FL16093385,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16093385
oai:rosetta.slv.vic.gov.au:IE7387421,2021-09-03T18:27:10Z,IE7387421,10381/359745,2009301,,FL16378747,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16378747
oai:rosetta.slv.vic.gov.au:IE7387428,2021-09-03T18:27:11Z,IE7387428,10381/237619,2458887,,FL16093555,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16093555
oai:rosetta.slv.vic.gov.au:IE7387431,2021-09-04T19:31:32Z,IE7387431,10381/359200,2009212,,FL16377645,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16377645
oai:rosetta.slv.vic.gov.au:IE7387438,2021-09-03T18:27:12Z,IE7387438,10381/240079,2469463,,FL16093617,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16093617
oai:rosetta.slv.vic.gov.au:IE7387440,2021-09-04T14:58:13Z,IE7387440,10381/238698,2483112,,FL16093681,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16093681
oai:rosetta.slv.vic.gov.au:IE7387451,2021-09-03T18:27:14Z,IE7387451,10381/359840,2009380,,FL16379447,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16379447
oai:rosetta.slv.vic.gov.au:IE7387458,2021-09-03T18:27:15Z,IE7387458,10381/240095,2478405,,FL16093797,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16093797
oai:rosetta.slv.vic.gov.au:IE7387461,2021-09-03T18:27:16Z,IE7387461,10381/360071,2009606,,FL16378825,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16378825
oai:rosetta.slv.vic.gov.au:IE7387468,2021-09-03T18:27:17Z,IE7387468,10381/239985,2470829,,FL16093903,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16093903
oai:rosetta.slv.vic.gov.au:IE738747,2021-09-04T14:58:24Z,IE738747,10381/144370,2301711,,FL16034475,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16034475
oai:rosetta.slv.vic.gov.au:IE7387471,2021-09-03T18:27:19Z,IE7387471,10381/358958,2009660,,FL16094007,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16094007
oai:rosetta.slv.vic.gov.au:IE7387478,2021-09-04T14:57:52Z,IE7387478,10381/238756,2482707,,FL16094057,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16094057
